business_description,expected_domain_names
food truck business in Tokyo,"['foodtruck.ai', 'foodtruck.co', 'foodtruck.store']"
fitness center in London,"['fitnesscenter.ai', 'fitnesscenter.biz', 'londonio.org']"
animal rescue organization in Berlin,"['animalrescue.com', 'animalrescue.biz', 'animalrescue.ai']"
electronics store in New York,"['newzone.biz', 'storeio.co', 'newhub.com']"
luxury travel agency in Berlin,"['luxurytravel.ai', 'luxurytravel.com', 'luxurytravel.io']"
coding bootcamp in London,"['codingbootcamp.net', 'codingbootcamp.io', 'codingbootcamp.store']"
podcast production company in Singapore,"['companyhub.org', 'podcastproduction.biz', 'podcastproduction.store']"
fast-food chain in Berlin,"['fastfoodbase.net', 'fastfoodchain.store', 'fastfoodchain.biz']"
luxury travel agency in San Francisco,"['travelzone.ai', 'luxurytravel.net', 'luxurytravel.biz']"
online bookstore in Paris,"['onlinebookstore.net', 'onlinebookstore.ai', 'onlinebookstore.io']"
coding bootcamp in San Francisco,"['codingbootcamp.biz', 'sanbase.store', 'codingbootcamp.org']"
organic skincare brand in Paris,"['organicskincare.co', 'brandbase.store', 'brandbase.biz']"
education platform & training program with global outreach in Singapore,"['ify.ai', 'educationify.store', 'base.ai']"
legal consultancy in Paris,"['legalconsultancy.org', 'consultancylink.io', 'legalconsultancy.com']"
personal finance advisory in Singapore,"['personalfinance.com', 'personalfinance.biz', 'personalfinance.net']"
language tutoring service in Berlin,"['tutoringio.org', 'languagetutoring.io', 'servicezone.biz']"
podcast production company in San Francisco,"['podcastproduction.ai', 'podcastproduction.store', 'podcastproduction.com']"
fitness center in San Francisco,"['centerhub.net', 'fitnesscenter.org', 'fitnesshub.io']"
podcast production company in Berlin,"['podcastproduction.net', 'podcastify.org', 'companyhub.io']"
micro-lending platform in Singapore,"['singaporebase.net', 'microlendingplatform.store', 'singaporelink.store']"
mental health counseling service in Dubai,"['healthhub.biz', 'healthio.net', 'mentalhealth.io']"
youth development program in Singapore,"['youthdevelopment.io', 'youthdevelopment.org', 'programzone.com']"
vegan restaurant in Paris,"['veganify.co', 'restaurantify.store', 'veganrestaurant.io']"
micro-lending platform in London,"['microlendingplatform.net', 'londonlink.store', 'londonify.biz']"
organic coffee shop in Toronto,"['organicify.org', 'organiccoffee.co', 'organiccoffee.store']"
AI consulting firm in Berlin,"['aiconsulting.co', 'aiconsulting.ai', 'aiconsulting.com']"
mobile app development company in Toronto,"['mobileify.net', 'mobileapp.ai', 'mobileapp.io']"
luxury travel agency in Berlin,"['luxurytravel.net', 'travellink.store', 'travelhub.store']"
SEO optimization firm in Paris,"['seooptimization.net', 'seooptimization.ai', 'firmbase.store']"
electronics store in London,"['londonzone.store', 'electronicsstore.net', 'electronicsstore.store']"
cryptocurrency exchange in London,"['cryptocurrencyexchange.co', 'cryptocurrencyio.co', 'cryptocurrencyexchange.store']"
web design agency in San Francisco,"['webify.biz', 'webdesign.store', 'designbase.com']"
home cleaning service in Berlin,"['cleaninglink.biz', 'serviceify.store', 'homecleaning.org']"
music label in New York,"['musiclabel.com', 'musiclabel.store', 'musiclabel.co']"
language tutoring service in London,"['serviceio.biz', 'tutoringzone.com', 'languagetutoring.store']"
university consultancy in New York,"['universityconsultancy.com', 'universityconsultancy.io', 'newify.com']"
coding bootcamp in San Francisco,"['codingbootcamp.co', 'codingbootcamp.net', 'codingbootcamp.store']"
video streaming platform in Singapore,"['videostreaming.org', 'streamingbase.com', 'videostreaming.biz']"
organic skincare brand in Berlin,"['organicbase.org', 'organicskincare.biz', 'skincarelink.net']"
VR gaming center in New York,"['vrgaming.biz', 'gaminghub.ai', 'vrgaming.store']"
mental health counseling service in Singapore,"['healthio.com', 'mentalhealth.co', 'mentalhealth.net']"
organic coffee shop in Toronto,"['shopzone.io', 'coffeehub.store', 'organiccoffee.com']"
food truck business in Berlin,"['truckio.com', 'truckbase.net', 'businessio.ai']"
bakery and pastry shop in Tokyo,"['bakerypastry.co', 'bakerypastry.org', 'bakerypastry.net']"
organic skincare brand in Singapore,"['skincarelink.io', 'organicskincare.co', 'organicskincare.biz']"
digital art marketplace in Toronto,"['digitalart.ai', 'marketplacezone.biz', 'digitalart.net']"
nonprofit for education in San Francisco,"['nonprofitlink.biz', 'sanbase.store', 'sanzone.io']"
coworking space in New York,"['spacehub.store', 'coworkingspace.com', 'coworkingspace.co']"
fast-food chain in London,"['chainhub.store', 'fastfoodchain.store', 'chainify.io']"
nonprofit for education in Toronto,"['nonprofiteducation.com', 'nonprofitzone.com', 'nonprofitlink.co']"
mobile app development company in Tokyo,"['appzone.com', 'mobileapp.ai', 'developmentzone.org']"
bakery and pastry shop in London,"['shophub.biz', 'bakerylink.store', 'bakerypastry.biz']"
fitness center in Singapore,"['fitnesscenter.biz', 'singaporeify.store', 'fitnesscenter.net']"
VR gaming center in Toronto,"['gaminglink.io', 'vrzone.co', 'vrify.org']"
food truck business in Singapore,"['foodlink.store', 'foodtruck.net', 'truckhub.io']"
coding bootcamp in New York,"['bootcampify.io', 'bootcamplink.com', 'codingbootcamp.io']"
pet grooming service in Dubai,"['groominghub.ai', 'petzone.org', 'groomingify.io']"
fashion boutique in Berlin,"['fashionzone.store', 'fashionzone.biz', 'boutiquezone.org']"
AI consulting firm in San Francisco,"['aiconsulting.io', 'ailink.net', 'aiconsulting.com']"
organic coffee shop in San Francisco,"['shopbase.net', 'organiccoffee.biz', 'organiccoffee.org']"
fine dining restaurant in Paris,"['dininglink.com', 'finezone.net', 'finedining.org']"
ice cream parlor in Singapore,"['creamlink.ai', 'creamhub.io', 'icecream.ai']"
nonprofit for education in London,"['nonprofiteducation.ai', 'nonprofiteducation.biz', 'nonprofitlink.co']"
telemedicine platform in Singapore,"['platformio.org', 'telemedicinehub.ai', 'telemedicinebase.biz']"
